Period od;Period do;Period (dana);Poreska (godišnja)
01.11.2023.;30.11.2023.;30;16.5
01.10.2023.;31.10.2023.;31;16.5
20.09.2023.;30.09.2023.;11;16.5
01.09.2023.;19.09.2023.;19;16.5
02.08.2023.;31.08.2023.;30;16.5
01.08.2023.;01.08.2023.;1;16.5
28.07.2023.;31.07.2023.;4;16.5
14.07.2023.;27.07.2023.;14;16.5
13.07.2023.;13.07.2023.;1;16.5
01.07.2023.;12.07.2023.;12;16.25
23.06.2023.;30.06.2023.;8;16.25
21.06.2023.;22.06.2023.;2;16.25
09.06.2023.;20.06.2023.;12;16.25
08.06.2023.;08.06.2023.;1;16.25
01.06.2023.;07.06.2023.;7;16
10.05.2023.;31.05.2023.;22;16
05.05.2023.;09.05.2023.;5;16
01.05.2023.;04.05.2023.;4;16
07.04.2023.;30.04.2023.;24;16
06.04.2023.;06.04.2023.;1;16
01.04.2023.;05.04.2023.;5;15.75
24.03.2023.;31.03.2023.;8;15.75
22.03.2023.;23.03.2023.;2;15.75
10.03.2023.;21.03.2023.;12;15.75
09.03.2023.;09.03.2023.;1;15.75
01.03.2023.;08.03.2023.;8;15.5
10.02.2023.;28.02.2023.;19;15.5
09.02.2023.;09.02.2023.;1;15.5
08.02.2023.;08.02.2023.;1;15.25
03.02.2023.;07.02.2023.;5;15.25
01.02.2023.;02.02.2023.;2;15.25
13.01.2023.;31.01.2023.;19;15.25
12.01.2023.;12.01.2023.;1;15.25
01.01.2023.;11.01.2023.;11;15
21.12.2022.;31.12.2022.;11;15
16.12.2022.;20.12.2022.;5;15
09.12.2022.;15.12.2022.;7;15
08.12.2022.;08.12.2022.;1;15
01.12.2022.;07.12.2022.;7;14.5
11.11.2022.;30.11.2022.;20;14.5
10.11.2022.;10.11.2022.;1;14.5
04.11.2022.;09.11.2022.;6;14
02.11.2022.;03.11.2022.;2;14
01.11.2022.;01.11.2022.;1;14
07.10.2022.;31.10.2022.;25;14
06.10.2022.;06.10.2022.;1;14
01.10.2022.;05.10.2022.;5;13.5
23.09.2022.;30.09.2022.;8;13.5
14.09.2022.;22.09.2022.;9;13.5
09.09.2022.;13.09.2022.;5;13.5
08.09.2022.;08.09.2022.;1;13.5
01.09.2022.;07.09.2022.;7;13
12.08.2022.;31.08.2022.;20;13
11.08.2022.;11.08.2022.;1;13
01.08.2022.;10.08.2022.;10;12.75
29.07.2022.;31.07.2022.;3;12.75
27.07.2022.;28.07.2022.;2;12.75
08.07.2022.;26.07.2022.;19;12.75
07.07.2022.;07.07.2022.;1;12.75
01.07.2022.;06.07.2022.;6;12.5
17.06.2022.;30.06.2022.;14;12.5
10.06.2022.;16.06.2022.;7;12.5
09.06.2022.;09.06.2022.;1;12.5
01.06.2022.;08.06.2022.;8;12
13.05.2022.;31.05.2022.;19;12
12.05.2022.;12.05.2022.;1;12
06.05.2022.;11.05.2022.;6;11.5
01.05.2022.;05.05.2022.;5;11.5
08.04.2022.;30.04.2022.;23;11.5
07.04.2022.;07.04.2022.;1;11.5
01.04.2022.;06.04.2022.;6;11
18.03.2022.;31.03.2022.;14;11
01.03.2022.;17.03.2022.;17;11
01.02.2022.;28.02.2022.;28;11
01.01.2022.;31.01.2022.;31;11
01.12.2021.;31.12.2021.;31;11
01.11.2021.;30.11.2021.;30;11
01.10.2021.;31.10.2021.;31;11
01.09.2021.;30.09.2021.;30;11
01.08.2021.;31.08.2021.;31;11
01.07.2021.;31.07.2021.;31;11
01.06.2021.;30.06.2021.;30;11
01.05.2021.;31.05.2021.;31;11
01.04.2021.;30.04.2021.;30;11
01.03.2021.;31.03.2021.;31;11
01.02.2021.;28.02.2021.;28;11
01.01.2021.;31.01.2021.;31;11
11.12.2020.;31.12.2020.;21;11
10.12.2020.;10.12.2020.;1;11
01.12.2020.;09.12.2020.;9;11.25
01.11.2020.;30.11.2020.;30;11.25
01.10.2020.;31.10.2020.;31;11.25
01.09.2020.;30.09.2020.;30;11.25
12.08.2020.;31.08.2020.;20;11.25
01.08.2020.;11.08.2020.;11;11.25
13.07.2020.;31.07.2020.;19;11.25
01.07.2020.;12.07.2020.;12;11.25
12.06.2020.;30.06.2020.;19;11.25
11.06.2020.;11.06.2020.;1;11.25
01.06.2020.;10.06.2020.;10;11.5
06.05.2020.;31.05.2020.;26;11.5
01.05.2020.;05.05.2020.;5;1.5
10.04.2020.;30.04.2020.;21;1.5
09.04.2020.;09.04.2020.;1;1.5
01.04.2020.;08.04.2020.;8;1.75
20.03.2020.;31.03.2020.;12;1.75
17.03.2020.;19.03.2020.;3;11.75
12.03.2020.;16.03.2020.;5;11.75
11.03.2020.;11.03.2020.;1;11.75
04.03.2020.;10.03.2020.;7;12.25
01.03.2020.;03.03.2020.;3;12.25
01.02.2020.;29.02.2020.;29;12.25
01.01.2020.;31.01.2020.;31;12.25
01.12.2019.;31.12.2019.;31;12.25
08.11.2019.;30.11.2019.;23;12.25
07.11.2019.;07.11.2019.;1;12.25
01.11.2019.;06.11.2019.;6;12.5
01.10.2019.;31.10.2019.;31;12.5
20.09.2019.;30.09.2019.;11;12.5
01.09.2019.;19.09.2019.;19;12.5
09.08.2019.;31.08.2019.;23;12.5
08.08.2019.;08.08.2019.;1;12.5
02.08.2019.;07.08.2019.;6;12.75
01.08.2019.;01.08.2019.;1;12.75
12.07.2019.;31.07.2019.;20;12.75
11.07.2019.;11.07.2019.;1;12.75
01.07.2019.;10.07.2019.;10;13
01.06.2019.;30.06.2019.;30;13
01.05.2019.;31.05.2019.;31;13
01.04.2019.;30.04.2019.;30;13
01.03.2019.;31.03.2019.;31;13
01.02.2019.;28.02.2019.;28;13
01.01.2019.;31.01.2019.;31;13
21.12.2018.;31.12.2018.;11;13
01.12.2018.;20.12.2018.;20;13
01.11.2018.;30.11.2018.;30;13
01.10.2018.;31.10.2018.;31;13
28.09.2018.;30.09.2018.;3;13
01.09.2018.;27.09.2018.;27;13
01.08.2018.;31.08.2018.;31;13
01.07.2018.;31.07.2018.;31;13
15.06.2018.;30.06.2018.;16;13
01.06.2018.;14.06.2018.;14;13
01.05.2018.;31.05.2018.;31;13
13.04.2018.;30.04.2018.;18;13
12.04.2018.;12.04.2018.;1;13
01.04.2018.;11.04.2018.;11;13.25
23.03.2018.;31.03.2018.;9;13.25
15.03.2018.;22.03.2018.;8;13.25
14.03.2018.;14.03.2018.;1;13.25
01.03.2018.;13.03.2018.;13;13.5
01.02.2018.;28.02.2018.;28;13.5
01.01.2018.;31.01.2018.;31;13.5
15.12.2017.;31.12.2017.;17;13.5
01.12.2017.;14.12.2017.;14;13.5
01.11.2017.;30.11.2017.;30;13.5
10.10.2017.;31.10.2017.;22;13.5
09.10.2017.;09.10.2017.;1;13.5
01.10.2017.;08.10.2017.;8;13.75
08.09.2017.;30.09.2017.;23;13.75
07.09.2017.;07.09.2017.;1;13.75
01.09.2017.;06.09.2017.;6;14
01.08.2017.;31.08.2017.;31;14
01.07.2017.;31.07.2017.;31;14
16.06.2017.;30.06.2017.;15;14
01.06.2017.;15.06.2017.;15;14
01.05.2017.;31.05.2017.;31;14
01.04.2017.;30.04.2017.;30;14
17.03.2017.;31.03.2017.;15;14
01.03.2017.;16.03.2017.;16;14
01.02.2017.;28.02.2017.;28;14
01.01.2017.;31.01.2017.;31;14
16.12.2016.;31.12.2016.;16;14
01.12.2016.;15.12.2016.;15;14
01.11.2016.;30.11.2016.;30;14
01.10.2016.;31.10.2016.;31;14
01.09.2016.;30.09.2016.;30;14
01.08.2016.;31.08.2016.;31;14
08.07.2016.;31.07.2016.;24;14
07.07.2016.;07.07.2016.;1;14
01.07.2016.;06.07.2016.;6;14.25
01.06.2016.;30.06.2016.;30;14.25
01.05.2016.;31.05.2016.;31;14.25
01.04.2016.;30.04.2016.;30;14.25
16.03.2016.;31.03.2016.;16;14.25
01.03.2016.;15.03.2016.;15;14.25
12.02.2016.;29.02.2016.;18;14.25
11.02.2016.;11.02.2016.;1;14.25
01.02.2016.;10.02.2016.;10;14.5
01.01.2016.;31.01.2016.;31;14.5
18.12.2015.;31.12.2015.;14;14.5
01.12.2015.;17.12.2015.;17;14.5
01.11.2015.;30.11.2015.;30;14.5
15.10.2015.;31.10.2015.;17;14.5
14.10.2015.;14.10.2015.;1;14.5
01.10.2015.;13.10.2015.;13;15
11.09.2015.;30.09.2015.;20;15
10.09.2015.;10.09.2015.;1;15
01.09.2015.;09.09.2015.;9;15.5
14.08.2015.;31.08.2015.;18;15.5
